epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.069,0.03769,0.057,8.15808,0.96845,0.64166,0.05334,0.07438,0.05759,0.64166,0.05334,0.07491,0.06048,0.0354,0.04677,7.84973,0.90225,0.000157263,0.000157263,0.000157263
2,270.811,0.03865,0.04521,6.71406,0.92162,0.22327,0.19003,0.10771,0.07554,0.22272,0.18856,0.10685,0.07566,0.03934,0.04984,6.57977,0.96416,0.000313844,0.000313844,0.000313844
3,406.979,0.03979,0.04574,6.04145,0.92635,0.23324,0.27706,0.14908,0.10992,0.23233,0.27633,0.14875,0.10967,0.03916,0.04498,5.6775,0.94527,0.000468331,0.000468331,0.000468331
4,541.382,0.03908,0.04354,5.4994,0.92333,0.23963,0.25164,0.15691,0.11571,0.24004,0.24677,0.15691,0.11398,0.0369,0.04613,5.36322,0.93599,0.000466575,0.000466575,0.000466575
5,677.557,0.03804,0.04381,5.15998,0.92419,0.23049,0.24638,0.1535,0.11297,0.22997,0.24539,0.15251,0.10938,0.0365,0.04785,4.98043,0.92795,0.000463434,0.000463434,0.000463434
6,812.149,0.03601,0.04172,4.93867,0.91603,0.22401,0.29937,0.18614,0.13985,0.22418,0.30011,0.1868,0.13757,0.03533,0.04647,4.69542,0.91873,0.000460292,0.000460292,0.000460292
7,948.93,0.03466,0.04223,4.70585,0.90355,0.21752,0.30773,0.1786,0.13591,0.21708,0.30641,0.17774,0.12811,0.03453,0.04298,4.68467,0.9186,0.00045715,0.00045715,0.00045715
8,1086.74,0.03461,0.04059,4.57893,0.90621,0.20654,0.32662,0.18278,0.14173,0.20634,0.32637,0.18205,0.13689,0.0323,0.04159,4.52625,0.90261,0.000454009,0.000454009,0.000454009
9,1224.19,0.03351,0.03996,4.54203,0.89322,0.14113,0.40018,0.1947,0.14347,0.14071,0.39857,0.19377,0.13544,0.03378,0.04221,4.47852,0.91059,0.000450867,0.000450867,0.000450867
10,1361.08,0.03298,0.03963,4.32199,0.89488,0.20246,0.31784,0.19028,0.14254,0.20268,0.3181,0.1903,0.1362,0.03378,0.04353,4.52549,0.90857,0.000447726,0.000447726,0.000447726
11,1496.75,0.03348,0.03949,4.27674,0.89848,0.15135,0.40807,0.19824,0.1485,0.15231,0.40393,0.19885,0.14251,0.03209,0.04189,4.18549,0.90968,0.000444584,0.000444584,0.000444584
