epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.559,0.04629,0.06936,8.72645,0.96801,0.4664,0.0574,0.07613,0.05598,0.4664,0.0574,0.07664,0.05952,0.04382,0.05956,8.40043,0.90787,0.000157263,0.000157263,0.000157263
2,273.562,0.04727,0.05492,7.17828,0.92067,0.22105,0.19348,0.11928,0.08219,0.22045,0.19127,0.11767,0.08425,0.04778,0.06009,7.06559,0.96265,0.000313844,0.000313844,0.000313844
3,410.519,0.04861,0.0558,6.46548,0.92469,0.23505,0.25956,0.13866,0.09834,0.23334,0.26351,0.13649,0.10267,0.04838,0.05792,6.1177,0.95073,0.000468331,0.000468331,0.000468331
4,548.033,0.04758,0.05316,5.87985,0.91976,0.24279,0.24949,0.15539,0.11165,0.24247,0.24866,0.15383,0.11004,0.04504,0.05657,5.79782,0.93842,0.000466575,0.000466575,0.000466575
5,688.876,0.0458,0.05271,5.52876,0.91884,0.21254,0.26171,0.14184,0.10646,0.21263,0.26234,0.14247,0.10452,0.04491,0.05859,5.36593,0.9354,0.000463434,0.000463434,0.000463434
6,825.871,0.04403,0.05039,5.29696,0.91313,0.25366,0.28183,0.18562,0.13551,0.25387,0.28256,0.18666,0.13331,0.04266,0.05546,5.07605,0.92228,0.000460292,0.000460292,0.000460292
7,964.702,0.04312,0.05094,5.06098,0.90364,0.21567,0.31829,0.19287,0.14168,0.21585,0.31854,0.19285,0.13598,0.0432,0.0525,4.90136,0.92003,0.00045715,0.00045715,0.00045715
8,1102.66,0.04222,0.04855,4.89329,0.90127,0.2785,0.3231,0.20973,0.1625,0.2785,0.3231,0.20978,0.15895,0.04118,0.05156,4.95007,0.91365,0.000454009,0.000454009,0.000454009
9,1240.41,0.04155,0.04857,4.8332,0.89308,0.15664,0.42626,0.20254,0.15658,0.15721,0.42138,0.20199,0.14718,0.04118,0.05435,4.80255,0.9156,0.000450867,0.000450867,0.000450867
10,1377.58,0.04014,0.04798,4.58643,0.89023,0.22391,0.31028,0.19261,0.1515,0.22417,0.31054,0.19259,0.14056,0.04154,0.05717,4.93893,0.9159,0.000447726,0.000447726,0.000447726
11,1513.77,0.03978,0.04745,4.56228,0.88942,0.21291,0.41281,0.24021,0.18441,0.21274,0.41255,0.23966,0.17487,0.03936,0.05253,4.40077,0.90448,0.000444584,0.000444584,0.000444584
12,1649.45,0.04031,0.04793,4.48551,0.89814,0.31365,0.39549,0.25755,0.20087,0.31311,0.3945,0.25608,0.18919,0.04005,0.05133,4.60249,0.90425,0.000441442,0.000441442,0.000441442
