epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.896,0.0346,0.05239,6.93727,0.9709,0.47332,0.05766,0.07656,0.05718,0.47332,0.05766,0.07694,0.05949,0.03184,0.04345,6.6887,0.90323,0.000157263,0.000157263,0.000157263
2,273.208,0.03488,0.04144,5.72155,0.92076,0.19196,0.21429,0.10972,0.07633,0.19045,0.21029,0.10644,0.07525,0.03568,0.04477,5.50428,0.95364,0.000313844,0.000313844,0.000313844
3,410.997,0.03612,0.04153,5.14916,0.92605,0.2432,0.24996,0.14567,0.10609,0.24286,0.24922,0.1453,0.10338,0.03532,0.04105,4.82734,0.94919,0.000468331,0.000468331,0.000468331
4,546.993,0.03495,0.03953,4.68967,0.92143,0.29647,0.22599,0.15404,0.1137,0.23633,0.23007,0.15385,0.10969,0.03246,0.04124,4.53834,0.92794,0.000466575,0.000466575,0.000466575
5,684.654,0.03355,0.03935,4.37812,0.9176,0.17202,0.25055,0.15063,0.1129,0.17152,0.25019,0.15071,0.10761,0.03257,0.04098,4.22351,0.92789,0.000463434,0.000463434,0.000463434
6,820.946,0.0325,0.03714,4.20157,0.91348,0.23209,0.28748,0.17453,0.13178,0.23202,0.28738,0.17465,0.12881,0.03143,0.04202,4.00369,0.91189,0.000460292,0.000460292,0.000460292
7,958.702,0.03187,0.0381,4.02808,0.90287,0.21676,0.33077,0.17743,0.13092,0.21772,0.32929,0.17722,0.12361,0.03113,0.03894,3.86884,0.91456,0.00045715,0.00045715,0.00045715
8,1096.96,0.03125,0.03686,3.92091,0.90373,0.23595,0.26416,0.17625,0.13398,0.23595,0.26416,0.17639,0.12824,0.02977,0.0382,3.88453,0.9101,0.000454009,0.000454009,0.000454009
9,1236.31,0.03028,0.03614,3.8738,0.89177,0.13494,0.38806,0.18347,0.13757,0.1348,0.38722,0.18296,0.12823,0.03049,0.0399,3.82597,0.9114,0.000450867,0.000450867,0.000450867
10,1375.12,0.02986,0.03565,3.69485,0.89096,0.18115,0.35368,0.1916,0.14959,0.18264,0.35565,0.19169,0.1382,0.02937,0.03913,3.9533,0.90292,0.000447726,0.000447726,0.000447726
