epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.086,0.04218,0.06363,7.53476,0.96946,0.47001,0.05758,0.07318,0.0547,0.47001,0.05758,0.07354,0.05543,0.03923,0.05323,7.30614,0.90623,0.000157263,0.000157263,0.000157263
2,274.988,0.04271,0.05016,6.20937,0.9207,0.27743,0.16778,0.11647,0.08283,0.2775,0.16647,0.11747,0.08245,0.043,0.05374,6.00039,0.95478,0.000313844,0.000313844,0.000313844
3,413.375,0.04431,0.05083,5.57895,0.92584,0.22869,0.26217,0.14309,0.10144,0.22841,0.26143,0.1436,0.10425,0.04387,0.05073,5.27,0.95413,0.000468331,0.000468331,0.000468331
4,550.035,0.04285,0.04815,5.08155,0.92161,0.2332,0.23923,0.15301,0.1082,0.2332,0.23923,0.15298,0.10814,0.0413,0.05142,4.96938,0.94396,0.000466575,0.000466575,0.000466575
5,688.496,0.04114,0.04764,4.77735,0.91762,0.22726,0.28034,0.15796,0.11507,0.22727,0.28024,0.15863,0.1104,0.04086,0.05239,4.54291,0.93436,0.000463434,0.000463434,0.000463434
6,825.842,0.03991,0.04531,4.56965,0.9145,0.19739,0.28498,0.1729,0.12952,0.19822,0.28662,0.17061,0.12421,0.0383,0.05106,4.31619,0.9141,0.000460292,0.000460292,0.000460292
7,964.653,0.0395,0.04596,4.35973,0.905,0.20338,0.35819,0.17545,0.12846,0.20294,0.35194,0.17554,0.12298,0.03907,0.04715,4.26202,0.91495,0.00045715,0.00045715,0.00045715
8,1103.01,0.03855,0.04396,4.24525,0.90468,0.1819,0.33229,0.16345,0.12327,0.1819,0.33229,0.16301,0.12086,0.03661,0.04661,4.3045,0.90989,0.000454009,0.000454009,0.000454009
9,1241.18,0.03754,0.04371,4.20747,0.8933,0.20194,0.40142,0.18413,0.13855,0.20172,0.39779,0.18287,0.12791,0.03674,0.04814,4.12452,0.91019,0.000450867,0.000450867,0.000450867
10,1378.57,0.03655,0.04338,3.99196,0.8922,0.17164,0.28115,0.18364,0.1422,0.17118,0.28041,0.18324,0.13321,0.03606,0.04717,4.19823,0.90621,0.000447726,0.000447726,0.000447726
11,1514.38,0.03627,0.04329,3.96594,0.89237,0.24114,0.35397,0.21216,0.16209,0.24112,0.35445,0.212,0.15293,0.03495,0.04547,3.83845,0.90146,0.000444584,0.000444584,0.000444584
12,1649.79,0.03611,0.04345,3.90128,0.89583,0.25477,0.37278,0.23459,0.18015,0.25456,0.37252,0.23392,0.168,0.03538,0.0447,3.92922,0.89565,0.000441442,0.000441442,0.000441442
13,1784.54,0.0345,0.04068,3.85219,0.88199,0.30867,0.38487,0.25154,0.19866,0.30748,0.38289,0.24968,0.18134,0.03465,0.04446,3.87516,0.90524,0.000438301,0.000438301,0.000438301
14,1922.83,0.03425,0.04081,3.79519,0.87585,0.28824,0.36965,0.25403,0.19919,0.2878,0.36891,0.25286,0.1859,0.03436,0.04605,3.84413,0.89711,0.000435159,0.000435159,0.000435159
15,2059.75,0.03445,0.04165,3.74049,0.88426,0.25859,0.41414,0.24795,0.19685,0.25859,0.41414,0.2473,0.18071,0.03423,0.04667,3.74013,0.89954,0.000432018,0.000432018,0.000432018
16,2195.46,0.03352,0.03988,3.74561,0.88067,0.26047,0.39734,0.23963,0.19059,0.26047,0.39734,0.2393,0.17673,0.03454,0.04588,3.77456,0.90682,0.000428876,0.000428876,0.000428876
