epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.056,0.00734,0.01109,6.21882,0.97134,0.8116,0.0514,0.07514,0.05585,0.8116,0.0514,0.07552,0.06055,0.00685,0.00928,6.01891,0.91067,0.000157263,0.000157263,0.000157263
2,276.905,0.00748,0.0089,5.12509,0.9241,0.16181,0.21103,0.12143,0.08567,0.16181,0.21103,0.12099,0.08563,0.00751,0.00962,4.95265,0.95375,0.000313844,0.000313844,0.000313844
3,417.261,0.0077,0.00919,4.5937,0.92698,0.22978,0.25172,0.13605,0.0995,0.22978,0.25172,0.13605,0.10151,0.00776,0.00924,4.38377,0.95868,0.000468331,0.000468331,0.000468331
4,554.989,0.00754,0.00873,4.17945,0.9239,0.2337,0.22456,0.14684,0.10676,0.2337,0.22456,0.14711,0.10141,0.00706,0.00931,4.16925,0.9402,0.000466575,0.000466575,0.000466575
5,696.351,0.00726,0.00875,3.91736,0.92302,0.21389,0.25411,0.15009,0.11158,0.21417,0.25165,0.15035,0.10733,0.00713,0.00939,3.78787,0.93508,0.000463434,0.000463434,0.000463434
6,834.131,0.00697,0.00834,3.75085,0.91513,0.18604,0.27095,0.16358,0.12181,0.18597,0.27084,0.16293,0.11657,0.0067,0.00948,3.58369,0.91471,0.000460292,0.000460292,0.000460292
7,972.649,0.00691,0.00862,3.57881,0.90981,0.19683,0.34672,0.17358,0.1282,0.19705,0.34687,0.17379,0.12003,0.00654,0.0085,3.51898,0.90647,0.00045715,0.00045715,0.00045715
8,1112.12,0.00672,0.00826,3.48267,0.90951,0.18829,0.34073,0.16926,0.13092,0.18838,0.34146,0.16937,0.12368,0.00635,0.00866,3.5062,0.90697,0.000454009,0.000454009,0.000454009
9,1252.61,0.00653,0.00814,3.46064,0.8965,0.28219,0.24495,0.18652,0.13774,0.28244,0.2451,0.18673,0.12594,0.00653,0.00869,3.42621,0.9081,0.000450867,0.000450867,0.000450867
10,1393.76,0.00637,0.0081,3.30191,0.89327,0.14636,0.37237,0.18697,0.14549,0.14653,0.37318,0.18691,0.13417,0.00639,0.00895,3.37811,0.90724,0.000447726,0.000447726,0.000447726
11,1532.53,0.00629,0.00814,3.26147,0.89322,0.15055,0.34707,0.19047,0.14737,0.15008,0.34582,0.18985,0.1363,0.00604,0.00899,3.22947,0.9009,0.000444584,0.000444584,0.000444584
12,1671.02,0.00619,0.00809,3.21888,0.89419,0.17893,0.36714,0.22998,0.18087,0.17691,0.36723,0.2291,0.16533,0.00602,0.00834,3.29051,0.89623,0.000441442,0.000441442,0.000441442
13,1809.48,0.00596,0.00759,3.16609,0.88104,0.25225,0.3831,0.21529,0.16793,0.25455,0.38164,0.21445,0.15063,0.006,0.00855,3.22605,0.90477,0.000438301,0.000438301,0.000438301
14,1950.3,0.00595,0.00774,3.12393,0.87698,0.18844,0.41295,0.23837,0.18685,0.18645,0.40902,0.23812,0.17364,0.00591,0.00847,3.17738,0.89571,0.000435159,0.000435159,0.000435159
15,2089.48,0.00607,0.00786,3.09384,0.88559,0.28207,0.41666,0.24976,0.19768,0.2823,0.41692,0.25047,0.18075,0.00591,0.00848,3.11593,0.89516,0.000432018,0.000432018,0.000432018
16,2228.82,0.00586,0.00762,3.10202,0.8812,0.18871,0.42059,0.23953,0.19275,0.18844,0.41977,0.23912,0.17318,0.00583,0.00841,3.10631,0.90281,0.000428876,0.000428876,0.000428876
17,2368.58,0.00573,0.0074,3.01737,0.87743,0.26024,0.42754,0.23571,0.18896,0.26024,0.42754,0.2354,0.17536,0.00579,0.0082,3.05581,0.89783,0.000425734,0.000425734,0.000425734
