epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.638,0.02419,0.03651,4.54213,0.96637,0.74577,0.04822,0.07255,0.05318,0.74577,0.04822,0.07323,0.05624,0.02218,0.02937,4.36901,0.89653,0.000157263,0.000157263,0.000157263
2,275.702,0.02409,0.02833,3.74907,0.91115,0.20954,0.18029,0.11346,0.08641,0.20894,0.17882,0.1126,0.07835,0.02393,0.02977,3.62719,0.94367,0.000313844,0.000313844,0.000313844
3,414.008,0.02478,0.0286,3.35879,0.91488,0.23075,0.23453,0.14394,0.106,0.23037,0.2338,0.1433,0.10544,0.02408,0.02843,3.14665,0.92863,0.000468331,0.000468331,0.000468331
4,551.218,0.02427,0.02724,3.06908,0.91568,0.21784,0.25732,0.14577,0.10809,0.21784,0.25732,0.14577,0.10495,0.0221,0.02798,2.94405,0.92132,0.000466575,0.000466575,0.000466575
5,690.035,0.0231,0.02699,2.88052,0.90876,0.22855,0.21819,0.14378,0.10646,0.16535,0.22897,0.14336,0.10327,0.02222,0.02836,2.76653,0.91726,0.000463434,0.000463434,0.000463434
6,827.377,0.02232,0.02549,2.75766,0.90395,0.2235,0.27457,0.17599,0.13328,0.22322,0.27373,0.17624,0.12722,0.02158,0.02779,2.61791,0.90927,0.000460292,0.000460292,0.000460292
7,967.207,0.02188,0.02599,2.64639,0.89427,0.20701,0.3239,0.17011,0.12459,0.20681,0.32258,0.1693,0.11867,0.02153,0.02625,2.59443,0.91041,0.00045715,0.00045715,0.00045715
8,1107.41,0.02149,0.02521,2.58009,0.89697,0.17934,0.3602,0.1613,0.12523,0.17889,0.35969,0.1615,0.11982,0.02092,0.02706,2.55348,0.90718,0.000454009,0.000454009,0.000454009
9,1248.23,0.02082,0.02485,2.56059,0.88595,0.13438,0.37253,0.17855,0.13687,0.1342,0.37216,0.17859,0.12686,0.01991,0.02713,2.54545,0.89878,0.000450867,0.000450867,0.000450867
10,1388.22,0.02015,0.02449,2.43001,0.88307,0.14949,0.34633,0.18465,0.14256,0.14953,0.3468,0.18428,0.13425,0.02013,0.02726,2.67776,0.9018,0.000447726,0.000447726,0.000447726
11,1525.89,0.02001,0.02422,2.41081,0.8828,0.16464,0.33255,0.21146,0.16502,0.16431,0.33204,0.21125,0.15888,0.01936,0.02523,2.31732,0.88655,0.000444584,0.000444584,0.000444584
12,1662.85,0.0203,0.02503,2.39769,0.8894,0.20481,0.34216,0.22628,0.17572,0.20454,0.34142,0.226,0.16711,0.01949,0.02505,2.42247,0.88384,0.000441442,0.000441442,0.000441442
13,1799.63,0.01929,0.02299,2.33405,0.87458,0.24631,0.38849,0.2382,0.18945,0.24631,0.38849,0.23786,0.174,0.01922,0.02487,2.28325,0.89127,0.000438301,0.000438301,0.000438301
14,1938.5,0.01918,0.02341,2.31852,0.87067,0.27951,0.41575,0.24063,0.1906,0.2795,0.41623,0.24088,0.18086,0.01915,0.02562,2.2829,0.88668,0.000435159,0.000435159,0.000435159
15,2076.64,0.01934,0.02365,2.28539,0.87727,0.24337,0.40829,0.22273,0.17517,0.24337,0.40829,0.22265,0.16107,0.01893,0.02565,2.27413,0.88646,0.000432018,0.000432018,0.000432018
16,2215.32,0.01874,0.02285,2.29819,0.87342,0.24387,0.37776,0.22452,0.17909,0.24387,0.37776,0.22416,0.16042,0.01906,0.02572,2.31929,0.89447,0.000428876,0.000428876,0.000428876
17,2353.76,0.01861,0.02231,2.24929,0.87171,0.29589,0.35796,0.25528,0.20456,0.29613,0.35822,0.25515,0.1866,0.01865,0.02482,2.15047,0.8906,0.000425734,0.000425734,0.000425734
18,2491.98,0.01895,0.02315,2.179,0.88152,0.22262,0.44168,0.23089,0.18439,0.22262,0.44168,0.23048,0.16997,0.01954,0.0254,2.25389,0.89523,0.000422593,0.000422593,0.000422593
19,2630.34,0.01839,0.02231,2.1481,0.86962,0.35974,0.37596,0.26757,0.21351,0.36,0.37669,0.26812,0.19973,0.01967,0.02579,2.16967,0.8932,0.000419451,0.000419451,0.000419451
20,2770.91,0.01953,0.02445,2.14544,0.87822,0.19913,0.47667,0.25401,0.2042,0.19982,0.47707,0.25392,0.18701,0.01912,0.02484,2.21446,0.89044,0.00041631,0.00041631,0.00041631
21,2909.09,0.0184,0.02235,2.12172,0.86808,0.27411,0.48015,0.26083,0.21144,0.27384,0.47989,0.26092,0.1937,0.01871,0.02484,2.20097,0.89009,0.000413168,0.000413168,0.000413168
22,3047.74,0.01804,0.02185,2.08282,0.86958,0.31382,0.39334,0.27869,0.22318,0.31382,0.39334,0.27853,0.20705,0.01931,0.02471,2.15582,0.89282,0.000410026,0.000410026,0.000410026
23,3187.77,0.01794,0.02169,2.07253,0.86227,0.3091,0.42345,0.28721,0.23254,0.30883,0.4232,0.28666,0.21954,0.01855,0.02468,2.17741,0.89005,0.000406885,0.000406885,0.000406885
24,3329.33,0.0184,0.02275,2.0454,0.87494,0.36256,0.42568,0.28263,0.22919,0.36278,0.42642,0.28235,0.21593,0.01885,0.02417,2.0863,0.88728,0.000403743,0.000403743,0.000403743
25,3467.61,0.01846,0.02218,2.04557,0.86217,0.29927,0.48115,0.30684,0.25376,0.29911,0.48137,0.30645,0.2392,0.01882,0.02433,2.04755,0.88809,0.000400602,0.000400602,0.000400602
26,3606.87,0.0182,0.02199,1.97973,0.86676,0.35913,0.46604,0.28338,0.23101,0.35914,0.46652,0.28342,0.21459,0.01815,0.02468,2.09557,0.88645,0.00039746,0.00039746,0.00039746
