epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1021,1.03906,4.11858,1.04442,0.01575,0.2087,0.11829,0.05725,0.82801,4.07736,0.88464,0.00013635,0.00013635,0.00013635
2,102.599,0.91949,3.39764,0.91633,0.01624,0.35386,0.22127,0.1535,0.70685,3.83335,0.84864,0.000279,0.000279,0.000279
3,142.46,0.86778,2.73064,0.90626,0.0254,0.44773,0.31591,0.23501,0.75695,3.5187,0.87044,0.000418771,0.000418771,0.000418771
4,179.309,0.86367,2.30684,0.90807,0.03146,0.58844,0.3653,0.27549,0.7136,2.99925,0.86482,0.000555662,0.000555662,0.000555662
5,222.541,0.80537,2.0723,0.88585,0.96402,0.10751,0.25182,0.17076,0.73632,2.77065,0.87252,0.000689673,0.000689673,0.000689673
6,273.814,0.79666,1.89867,0.88664,0.69289,0.24965,0.43806,0.32492,0.73713,2.45094,0.89266,0.000820804,0.000820804,0.000820804
7,324.822,0.81533,1.79483,0.8867,0.87311,0.32802,0.41815,0.28037,0.69657,1.96525,0.90258,0.000855005,0.000855005,0.000855005
8,373.097,0.7542,1.72482,0.87247,0.46631,0.38759,0.40401,0.28823,0.6747,1.66676,0.8894,0.000846006,0.000846006,0.000846006
9,432.62,0.74177,1.63866,0.87042,0.40893,0.34586,0.36052,0.24302,0.67914,1.48112,0.88644,0.000837007,0.000837007,0.000837007
10,487.429,0.7551,1.56934,0.875,0.44487,0.46723,0.44583,0.34546,0.6352,1.52336,0.86767,0.000828008,0.000828008,0.000828008
11,544.253,0.69974,1.47649,0.86836,0.70493,0.33574,0.36714,0.26297,0.61092,1.39247,0.86755,0.000819009,0.000819009,0.000819009
12,592.656,0.68952,1.51079,0.86533,0.60934,0.30094,0.37847,0.28983,0.60612,1.54347,0.86368,0.00081001,0.00081001,0.00081001
13,658.342,0.69913,1.51826,0.86039,0.5585,0.19716,0.24812,0.20703,0.61855,1.51352,0.86721,0.000801011,0.000801011,0.000801011
14,746.646,0.69426,1.48562,0.86326,0.56226,0.23678,0.28295,0.23094,0.61492,1.41624,0.86293,0.000792012,0.000792012,0.000792012
15,815.3,0.67651,1.4151,0.85735,0.55222,0.21578,0.26499,0.20393,0.59196,1.45738,0.86118,0.000783013,0.000783013,0.000783013
16,879.152,0.6616,1.38322,0.86032,0.45308,0.23898,0.24495,0.19119,0.58724,1.42939,0.86016,0.000774013,0.000774013,0.000774013
17,946.541,0.67138,1.34815,0.85938,0.46294,0.24118,0.23787,0.18449,0.64994,1.3453,0.87672,0.000765014,0.000765014,0.000765014
18,1015.24,0.65925,1.29616,0.85281,0.31693,0.23538,0.24435,0.19189,0.66163,1.4316,0.87115,0.000756015,0.000756015,0.000756015
19,1105.77,0.6826,1.2943,0.85859,0.50601,0.23042,0.25774,0.20235,0.5883,1.40126,0.86233,0.000747016,0.000747016,0.000747016
20,1185.87,0.66051,1.30702,0.85637,0.41043,0.24086,0.24805,0.19683,0.58073,1.29379,0.86907,0.000738017,0.000738017,0.000738017
