epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.524,0.01294,0.01909,2.55663,0.95113,0.62398,0.05556,0.07439,0.05662,0.62398,0.05556,0.07515,0.06061,0.012,0.01627,2.45817,0.8869,0.000157263,0.000157263,0.000157263
2,275.693,0.01266,0.01459,2.10622,0.89442,0.22405,0.21059,0.12408,0.08855,0.22151,0.20658,0.11995,0.0899,0.0129,0.01625,2.08245,0.94229,0.000313844,0.000313844,0.000313844
3,414.625,0.01276,0.01472,1.88285,0.89662,0.23227,0.24755,0.14105,0.10385,0.23096,0.2445,0.13949,0.10332,0.01255,0.01556,1.81586,0.91657,0.000468331,0.000468331,0.000468331
4,551.841,0.01233,0.01409,1.71025,0.89298,0.09447,0.30779,0.14391,0.10619,0.09348,0.30774,0.1435,0.10419,0.01201,0.01522,1.67904,0.91425,0.000466575,0.000466575,0.000466575
5,690.356,0.0118,0.01425,1.59812,0.88919,0.17073,0.26898,0.1466,0.11045,0.17048,0.26814,0.14625,0.1069,0.01173,0.01539,1.56189,0.91128,0.000463434,0.000463434,0.000463434
6,827.948,0.01134,0.0134,1.53412,0.88605,0.17286,0.31537,0.15955,0.12442,0.17274,0.31442,0.15963,0.11986,0.01151,0.01601,1.55727,0.9089,0.000460292,0.000460292,0.000460292
7,968.956,0.01101,0.01352,1.46724,0.87674,0.18294,0.30142,0.15909,0.1217,0.18235,0.30042,0.15862,0.11741,0.01134,0.015,1.48279,0.9066,0.00045715,0.00045715,0.00045715
8,1109.49,0.01083,0.01315,1.41695,0.877,0.21244,0.31083,0.18572,0.15079,0.2136,0.31059,0.18594,0.14299,0.01061,0.01428,1.4879,0.89778,0.000454009,0.000454009,0.000454009
9,1249.78,0.01077,0.01315,1.40158,0.8728,0.15715,0.36744,0.20026,0.16046,0.15707,0.36792,0.20056,0.14878,0.01086,0.01477,1.42232,0.90689,0.000450867,0.000450867,0.000450867
10,1395.12,0.01034,0.01278,1.33743,0.86959,0.17457,0.32094,0.20626,0.16852,0.17431,0.32069,0.20579,0.15794,0.0109,0.01519,1.424,0.90751,0.000447726,0.000447726,0.000447726
