epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.387,0.01821,0.02803,9.04598,0.9812,0.49966,0.05513,0.07772,0.05364,0.4968,0.05518,0.0784,0.05674,0.01738,0.02304,8.74579,0.91518,0.000157263,0.000157263,0.000157263
2,273.079,0.0189,0.02225,7.48961,0.93146,0.27159,0.15575,0.11738,0.08375,0.27119,0.15501,0.1164,0.08305,0.01879,0.02363,7.13275,0.95839,0.000313844,0.000313844,0.000313844
3,410.812,0.01987,0.02334,6.72689,0.9454,0.23736,0.29466,0.14258,0.10145,0.23736,0.29466,0.14233,0.10238,0.02001,0.02301,6.30851,0.96698,0.000468331,0.000468331,0.000468331
4,546.099,0.01975,0.02222,6.13206,0.94168,0.22611,0.20836,0.15232,0.10499,0.22675,0.20784,0.15275,0.10315,0.01799,0.02272,6.25792,0.9595,0.000466575,0.000466575,0.000466575
5,682.989,0.01886,0.02193,5.73904,0.939,0.14755,0.30687,0.14565,0.10416,0.14755,0.30687,0.14585,0.10329,0.01808,0.02365,5.49447,0.95072,0.000463434,0.000463434,0.000463434
6,818.243,0.01804,0.02111,5.50968,0.93217,0.20819,0.3296,0.1797,0.13297,0.20838,0.33034,0.18052,0.12924,0.01697,0.02228,5.05856,0.9263,0.000460292,0.000460292,0.000460292
7,954.408,0.01754,0.0214,5.27873,0.91927,0.22985,0.32608,0.17808,0.1293,0.23024,0.32707,0.18011,0.12628,0.01672,0.02088,5.00373,0.92391,0.00045715,0.00045715,0.00045715
8,1091.45,0.01717,0.02075,5.13925,0.91759,0.2022,0.3296,0.16256,0.11986,0.2022,0.3296,0.16256,0.11302,0.01596,0.02169,4.99009,0.91782,0.000454009,0.000454009,0.000454009
9,1229.82,0.01659,0.02025,5.07184,0.90522,0.13719,0.41013,0.18146,0.13228,0.13705,0.40929,0.18101,0.12155,0.01629,0.02137,4.91008,0.91927,0.000450867,0.000450867,0.000450867
10,1367.2,0.01618,0.02,4.82353,0.90118,0.16158,0.31333,0.17618,0.13221,0.16579,0.31078,0.17624,0.12286,0.01606,0.02128,4.98364,0.91379,0.000447726,0.000447726,0.000447726
11,1504.01,0.01622,0.02037,4.78633,0.90651,0.15288,0.38244,0.19776,0.14679,0.15287,0.3835,0.19836,0.13908,0.01558,0.02111,4.62471,0.90806,0.000444584,0.000444584,0.000444584
12,1639.95,0.01602,0.02048,4.71842,0.90779,0.25794,0.36532,0.23166,0.17796,0.25819,0.36606,0.2325,0.16288,0.015,0.02077,4.59854,0.90196,0.000441442,0.000441442,0.000441442
13,1775.22,0.01516,0.01889,4.64075,0.89223,0.26598,0.38688,0.22589,0.17029,0.26484,0.38512,0.22391,0.15713,0.01522,0.02059,4.55302,0.91207,0.000438301,0.000438301,0.000438301
14,1913.45,0.01543,0.01936,4.61923,0.88895,0.26526,0.40615,0.23019,0.17784,0.26593,0.40475,0.23065,0.16644,0.01513,0.02111,4.47969,0.90379,0.000435159,0.000435159,0.000435159
15,2053.26,0.01546,0.01955,4.54153,0.8967,0.25023,0.44776,0.22219,0.17176,0.25003,0.44694,0.222,0.15827,0.01489,0.02101,4.46119,0.90373,0.000432018,0.000432018,0.000432018
16,2190.88,0.01494,0.01868,4.54666,0.89048,0.23336,0.36659,0.21565,0.16781,0.23437,0.36623,0.2156,0.15391,0.01481,0.0205,4.48407,0.90777,0.000428876,0.000428876,0.000428876
17,2328.41,0.01485,0.01847,4.45607,0.89073,0.32197,0.36018,0.23525,0.18259,0.32197,0.36018,0.2352,0.16964,0.01452,0.0198,4.26204,0.90645,0.000425734,0.000425734,0.000425734
18,2465.9,0.01511,0.01915,4.33258,0.8995,0.1854,0.42135,0.23763,0.18355,0.18598,0.4185,0.23755,0.17601,0.01529,0.02069,4.44111,0.90796,0.000422593,0.000422593,0.000422593
19,2603.65,0.01448,0.01813,4.25623,0.88488,0.25588,0.41813,0.2511,0.19834,0.25616,0.41887,0.25068,0.18709,0.01521,0.02097,4.43469,0.91157,0.000419451,0.000419451,0.000419451
20,2742.63,0.01549,0.02011,4.27725,0.89494,0.24901,0.46912,0.23694,0.18632,0.24869,0.46861,0.23696,0.17174,0.01509,0.0208,4.57136,0.91139,0.00041631,0.00041631,0.00041631
21,2879.94,0.01471,0.01839,4.20404,0.88661,0.21467,0.42742,0.26648,0.21259,0.21288,0.42335,0.26586,0.19707,0.01477,0.02093,4.27984,0.91036,0.000413168,0.000413168,0.000413168
22,3018.41,0.01437,0.01798,4.14083,0.88576,0.32563,0.43043,0.2883,0.22506,0.32711,0.42808,0.28757,0.21345,0.01547,0.01991,4.36439,0.92133,0.000410026,0.000410026,0.000410026
23,3155.95,0.0143,0.0177,4.08386,0.87979,0.30759,0.40003,0.28299,0.22318,0.30803,0.39908,0.28269,0.20828,0.01457,0.02002,4.36061,0.90493,0.000406885,0.000406885,0.000406885
24,3295.58,0.01471,0.01883,4.07245,0.89487,0.32702,0.45982,0.26529,0.21114,0.32755,0.46107,0.26591,0.20195,0.01505,0.01986,4.15066,0.90405,0.000403743,0.000403743,0.000403743
25,3432.3,0.0147,0.01811,4.06957,0.87791,0.30451,0.45231,0.2987,0.24023,0.30545,0.45356,0.29862,0.2265,0.01474,0.01963,4.26569,0.90259,0.000400602,0.000400602,0.000400602
26,3570.75,0.01446,0.01805,3.92882,0.88361,0.34248,0.46722,0.2862,0.22719,0.34228,0.46697,0.28583,0.20975,0.01437,0.02007,4.0963,0.90236,0.00039746,0.00039746,0.00039746
27,3709.32,0.01404,0.01785,3.94412,0.88104,0.31226,0.4337,0.26766,0.21148,0.31256,0.43071,0.26717,0.19716,0.01438,0.01951,4.12922,0.90405,0.000394318,0.000394318,0.000394318
28,3846.2,0.01464,0.01838,3.85921,0.87958,0.28705,0.43757,0.27053,0.21676,0.28726,0.43419,0.27049,0.2051,0.01415,0.01881,4.0959,0.90006,0.000391177,0.000391177,0.000391177
29,3981.33,0.01422,0.01798,3.88517,0.87801,0.35675,0.45486,0.28046,0.22368,0.362,0.43881,0.28101,0.20742,0.01432,0.01964,4.15536,0.89661,0.000388035,0.000388035,0.000388035
30,4118.15,0.01467,0.01877,3.92323,0.88016,0.32907,0.36824,0.29717,0.23974,0.33041,0.36817,0.29693,0.224,0.01403,0.01944,4.11009,0.8928,0.000384894,0.000384894,0.000384894
31,4254.18,0.01428,0.0183,3.78671,0.87637,0.32256,0.47472,0.29077,0.23189,0.32094,0.47155,0.2904,0.21624,0.01444,0.01966,4.00145,0.89936,0.000381752,0.000381752,0.000381752
32,4390.89,0.01411,0.0181,3.75548,0.87826,0.37358,0.44204,0.28186,0.2238,0.37351,0.44148,0.28181,0.20831,0.01441,0.01945,4.15384,0.90603,0.00037861,0.00037861,0.00037861
33,4527.74,0.01417,0.01802,3.75023,0.87957,0.37001,0.44832,0.27559,0.22291,0.37055,0.4499,0.2759,0.20697,0.01442,0.01984,4.33296,0.90489,0.000375469,0.000375469,0.000375469
34,4664.4,0.01411,0.01791,3.67705,0.88099,0.33853,0.41192,0.31212,0.25655,0.33879,0.41218,0.31193,0.23631,0.01411,0.01918,3.86929,0.89567,0.000372327,0.000372327,0.000372327
35,4800.33,0.01437,0.01775,3.62673,0.8814,0.37499,0.41663,0.28257,0.22939,0.37572,0.41762,0.28344,0.21525,0.01421,0.01935,3.98593,0.89835,0.000369186,0.000369186,0.000369186
36,4936.59,0.01372,0.01682,3.67125,0.87736,0.38674,0.42408,0.29804,0.2416,0.38597,0.42309,0.29749,0.22499,0.01395,0.01905,4.04742,0.90021,0.000366044,0.000366044,0.000366044
37,5074.65,0.0138,0.01749,3.6062,0.86949,0.39303,0.36117,0.27254,0.21485,0.39374,0.36388,0.27307,0.1994,0.01467,0.02077,4.7612,0.92261,0.000362902,0.000362902,0.000362902
38,5211.2,0.01419,0.01786,3.59801,0.8745,0.3225,0.46302,0.32445,0.26293,0.3225,0.46287,0.32485,0.24104,0.01438,0.01929,3.8038,0.90337,0.000359761,0.000359761,0.000359761
39,5348,0.01419,0.01723,3.571,0.87367,0.45904,0.42865,0.3539,0.28731,0.45987,0.42942,0.35371,0.26555,0.01417,0.01925,3.89786,0.89795,0.000356619,0.000356619,0.000356619
40,5486.35,0.01411,0.01798,3.516,0.87856,0.32212,0.40005,0.29422,0.23843,0.32289,0.40104,0.29513,0.2207,0.01436,0.01935,4.27117,0.90023,0.000353478,0.000353478,0.000353478
41,5622.56,0.01376,0.01731,3.506,0.87264,0.34225,0.4748,0.32104,0.26271,0.33548,0.47699,0.32112,0.24098,0.01407,0.01907,3.92347,0.89767,0.000350336,0.000350336,0.000350336
42,5758.81,0.01392,0.01712,3.44572,0.87181,0.49587,0.36073,0.32919,0.26702,0.49643,0.36146,0.32971,0.2447,0.01427,0.01893,4.05795,0.89991,0.000347194,0.000347194,0.000347194
43,5896.75,0.01428,0.01778,3.53268,0.87687,0.34077,0.48413,0.31741,0.25888,0.34133,0.48513,0.31759,0.23964,0.0141,0.01946,3.87786,0.90006,0.000344053,0.000344053,0.000344053
44,6034.91,0.01379,0.0177,3.44772,0.87502,0.337,0.48841,0.30592,0.24809,0.34202,0.48833,0.30616,0.22846,0.01424,0.01958,3.95471,0.90626,0.000340911,0.000340911,0.000340911
45,6171.74,0.01364,0.01721,3.39962,0.86657,0.33695,0.44252,0.32325,0.25767,0.3373,0.4427,0.32349,0.23644,0.01463,0.02032,3.99691,0.90562,0.00033777,0.00033777,0.00033777
46,6310.39,0.01447,0.01836,3.46182,0.88062,0.40349,0.45274,0.32905,0.26925,0.40414,0.45373,0.32951,0.25128,0.01442,0.01936,3.95654,0.8993,0.000334628,0.000334628,0.000334628
47,6448.05,0.01381,0.01784,3.37252,0.87765,0.37948,0.45384,0.31838,0.25655,0.37974,0.45468,0.31855,0.23447,0.0144,0.02005,3.90247,0.90166,0.000331486,0.000331486,0.000331486
48,6588.47,0.01369,0.01762,3.31581,0.87321,0.42798,0.44769,0.33349,0.27142,0.42978,0.4493,0.33445,0.24299,0.01439,0.01964,3.97351,0.9084,0.000328345,0.000328345,0.000328345
49,6725.96,0.01382,0.01781,3.33641,0.87089,0.27159,0.46977,0.31398,0.25815,0.27231,0.47076,0.31449,0.23966,0.01376,0.01902,3.92524,0.89686,0.000325203,0.000325203,0.000325203
50,6862.54,0.01342,0.01684,3.27133,0.86365,0.28412,0.47835,0.31559,0.25485,0.28355,0.47797,0.31577,0.23585,0.01409,0.01907,4.07202,0.89868,0.000322062,0.000322062,0.000322062
51,6999.15,0.01341,0.01735,3.23481,0.86869,0.35722,0.455,0.31995,0.26194,0.3581,0.456,0.32096,0.23873,0.014,0.01919,3.94956,0.90053,0.00031892,0.00031892,0.00031892
52,7135.45,0.01379,0.01741,3.28442,0.87881,0.34408,0.4705,0.32359,0.26173,0.34431,0.47076,0.32353,0.23546,0.01432,0.01915,4.04703,0.9063,0.000315778,0.000315778,0.000315778
53,7270.91,0.01338,0.01657,3.29153,0.86114,0.37882,0.41798,0.31123,0.25303,0.37977,0.41829,0.31118,0.23118,0.01414,0.01948,3.84051,0.90545,0.000312637,0.000312637,0.000312637
54,7406.93,0.01355,0.01743,3.28906,0.87892,0.29212,0.4893,0.32087,0.26202,0.29265,0.49014,0.32128,0.23939,0.01379,0.01918,4.01603,0.902,0.000309495,0.000309495,0.000309495
