epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,4161.57,0.58156,0.66957,1.9851,0.83848,0.24811,0.43814,0.28313,0.24634,0.24811,0.43814,0.28325,0.23424,0.49006,0.58691,2.05153,0.8198,0.000388035,0.000388035,0.000388035
30,4309.62,0.55466,0.62804,1.97033,0.83328,0.22243,0.43075,0.26128,0.23115,0.22333,0.43176,0.26146,0.21332,0.46673,0.59864,2.09002,0.81923,0.000384894,0.000384894,0.000384894
31,4455.94,0.53796,0.59131,1.96931,0.82405,0.36391,0.34883,0.2874,0.24998,0.36391,0.34883,0.28634,0.23047,0.47591,0.60827,2.10274,0.82268,0.000381752,0.000381752,0.000381752
32,4600.25,0.54118,0.62432,1.98719,0.833,0.28637,0.43281,0.31582,0.27664,0.28717,0.43382,0.31729,0.25219,0.48281,0.60401,1.92879,0.82124,0.00037861,0.00037861,0.00037861
33,4745.48,0.53967,0.60197,1.8534,0.82801,0.33673,0.44054,0.30527,0.26824,0.32923,0.46338,0.30537,0.24503,0.46526,0.5944,1.94711,0.81931,0.000375469,0.000375469,0.000375469
34,4892.05,0.56482,0.65559,1.92615,0.8316,0.26143,0.41105,0.32525,0.28696,0.26143,0.41105,0.32514,0.26369,0.46896,0.59192,2.01203,0.82019,0.000372327,0.000372327,0.000372327
35,5035.07,0.5343,0.62695,1.87962,0.82936,0.28367,0.48674,0.32526,0.28727,0.28367,0.48674,0.32533,0.26229,0.47079,0.59671,1.91923,0.82234,0.000369186,0.000369186,0.000369186
36,5175.05,0.51949,0.59486,1.83883,0.82888,0.30673,0.44512,0.33818,0.29996,0.30673,0.44512,0.33839,0.27202,0.46466,0.61615,1.91948,0.81983,0.000366044,0.000366044,0.000366044
37,5311.35,0.54438,0.62952,1.77896,0.83257,0.26473,0.44943,0.29724,0.25979,0.26473,0.44943,0.29738,0.23932,0.47006,0.59603,1.9301,0.82057,0.000362902,0.000362902,0.000362902
38,5449.66,0.54426,0.64641,1.82899,0.83328,0.27348,0.41965,0.30573,0.27145,0.27296,0.4237,0.30607,0.2479,0.45956,0.58821,1.88658,0.82036,0.000359761,0.000359761,0.000359761
39,5585.71,0.5064,0.57645,1.81947,0.82567,0.26582,0.39614,0.30481,0.2712,0.26582,0.39614,0.30481,0.24746,0.47006,0.58778,1.94227,0.82039,0.000356619,0.000356619,0.000356619
40,5723.6,0.52462,0.61585,1.71962,0.82863,0.26733,0.43389,0.32085,0.28259,0.26733,0.43389,0.32107,0.2607,0.46953,0.60083,1.8936,0.81827,0.000353478,0.000353478,0.000353478
41,5865.8,0.51955,0.58807,1.72269,0.82628,0.34391,0.4544,0.32552,0.28768,0.34391,0.4544,0.32586,0.26453,0.47084,0.6324,1.85833,0.82529,0.000350336,0.000350336,0.000350336
42,6008.11,0.51409,0.57156,1.72685,0.81985,0.26287,0.43203,0.28975,0.25487,0.26287,0.43203,0.28992,0.24208,0.48641,0.61026,2.13152,0.82555,0.000347194,0.000347194,0.000347194
43,6150.2,0.52767,0.60452,1.73881,0.82695,0.28087,0.48336,0.3421,0.30126,0.28087,0.48336,0.34258,0.277,0.4623,0.61951,1.81672,0.82063,0.000344053,0.000344053,0.000344053
44,6291.49,0.52673,0.60815,1.71532,0.82625,0.25729,0.46088,0.32717,0.28792,0.25797,0.4619,0.32778,0.26826,0.48076,0.62115,1.9116,0.82676,0.000340911,0.000340911,0.000340911
