epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4481,0.01488,5.53627,1.04434,0.0125,0.2,0.12993,0.09488,0.01183,5.53961,0.88755,0.00013635,0.00013635,0.00013635
2,124.391,0.01416,4.46079,0.94596,0.01159,0.12029,0.11499,0.07787,0.01139,5.20008,0.87243,0.000279,0.000279,0.000279
3,195.888,0.01403,3.53395,0.93798,0.02814,0.21386,0.1658,0.11232,0.01257,4.8392,0.90333,0.000418771,0.000418771,0.000418771
4,256.843,0.01463,2.92807,0.95449,0.70529,0.1312,0.18414,0.12025,0.01263,4.20473,0.89974,0.000555662,0.000555662,0.000555662
5,323.712,0.01331,2.75068,0.92604,0.50742,0.16775,0.20451,0.12157,0.01255,4.2987,0.92251,0.000689673,0.000689673,0.000689673
6,393.213,0.01321,2.52004,0.92618,1,0.09426,0.23607,0.15009,0.01181,3.8483,0.92124,0.000820804,0.000820804,0.000820804
7,466.581,0.01355,2.42338,0.92249,0.8399,0.15149,0.22633,0.13836,0.01162,3.06762,0.93031,0.000855005,0.000855005,0.000855005
8,543.503,0.01289,2.30815,0.91276,0.66719,0.22228,0.26249,0.18611,0.011,2.41233,0.92392,0.000846006,0.000846006,0.000846006
9,618.059,0.01255,2.19629,0.90832,0.69981,0.23318,0.26167,0.17633,0.01055,2.01509,0.91317,0.000837007,0.000837007,0.000837007
10,692.027,0.01247,2.15327,0.91034,0.5614,0.22846,0.26256,0.18695,0.00986,2.10565,0.89537,0.000828008,0.000828008,0.000828008
11,755.343,0.01171,2.0414,0.90551,0.89784,0.18846,0.22908,0.15634,0.01089,1.96945,0.91206,0.000819009,0.000819009,0.000819009
12,818.3,0.01202,2.0539,0.90548,0.33122,0.21985,0.24842,0.16383,0.01108,2.44236,0.91743,0.00081001,0.00081001,0.00081001
13,890.827,0.01191,2.11203,0.89677,0.55192,0.20157,0.26023,0.19328,0.01053,2.20741,0.89856,0.000801011,0.000801011,0.000801011
14,970.963,0.01208,2.03824,0.90121,0.90009,0.20446,0.24389,0.17738,0.01068,2.01117,0.91427,0.000792012,0.000792012,0.000792012
15,1033.33,0.012,1.89855,0.90111,0.5338,0.23898,0.27481,0.1935,0.00998,1.85958,0.89588,0.000783013,0.000783013,0.000783013
16,1096.67,0.01124,1.86432,0.8947,0.56709,0.20157,0.22009,0.17798,0.00993,1.96529,0.90435,0.000774013,0.000774013,0.000774013
17,1168.79,0.01114,1.82711,0.89173,0.52598,0.23283,0.25524,0.20134,0.01053,1.88908,0.90585,0.000765014,0.000765014,0.000765014
18,1245.69,0.01085,1.72694,0.88046,0.60368,0.20931,0.25897,0.17876,0.00984,1.93909,0.90001,0.000756015,0.000756015,0.000756015
19,1320.44,0.01105,1.75088,0.88605,0.49765,0.24409,0.28983,0.22975,0.00962,1.82891,0.90105,0.000747016,0.000747016,0.000747016
20,1393.04,0.01108,1.7643,0.88928,0.43864,0.27581,0.26094,0.19107,0.00943,1.94572,0.90054,0.000738017,0.000738017,0.000738017
21,1494.91,0.01068,1.67466,0.88701,0.65346,0.21928,0.26286,0.19466,0.0098,1.66462,0.91085,0.000729018,0.000729018,0.000729018
22,1637.25,0.01049,1.62049,0.87875,0.67713,0.21717,0.2626,0.19761,0.00947,1.86736,0.90289,0.000720019,0.000720019,0.000720019
23,1761.55,0.01058,1.69743,0.87796,0.61071,0.20446,0.23763,0.19699,0.00911,1.93063,0.88797,0.00071102,0.00071102,0.00071102
24,1896.52,0.01067,1.61096,0.88418,0.64479,0.20516,0.23151,0.19201,0.00969,1.82881,0.88673,0.000702021,0.000702021,0.000702021
25,2046.89,0.01084,1.56582,0.87739,0.8854,0.19076,0.23554,0.17664,0.00988,1.7953,0.89552,0.000693022,0.000693022,0.000693022
26,2227.62,0.01088,1.63288,0.87581,0.59251,0.19357,0.2178,0.17181,0.01019,1.79249,0.91795,0.000684022,0.000684022,0.000684022
27,2422.75,0.01043,1.59736,0.88254,0.57169,0.20182,0.22198,0.16482,0.00946,2.13224,0.9161,0.000675023,0.000675023,0.000675023
28,2619.46,0.01052,1.50323,0.87782,0.99431,0.05,0.07901,0.06139,0.0097,1.87837,0.90937,0.000666024,0.000666024,0.000666024
29,2822.84,0.01031,1.52809,0.876,0.60525,0.19867,0.22457,0.16063,0.00984,1.75758,0.91559,0.000657025,0.000657025,0.000657025
