epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3952.6,0.01622,0.01961,0.80076,0.84615,0.31272,0.44392,0.28358,0.23417,0.3129,0.4427,0.28281,0.21561,0.01735,0.02374,0.92309,0.88602,0.000388035,0.000388035,0.000388035
30,4089.59,0.0166,0.02019,0.80283,0.8437,0.30607,0.37781,0.28605,0.24106,0.3058,0.37508,0.28522,0.22321,0.01708,0.02348,0.88713,0.88227,0.000384894,0.000384894,0.000384894
31,4225.93,0.0162,0.0197,0.77877,0.84189,0.31277,0.45681,0.28901,0.24311,0.3128,0.45549,0.28897,0.22521,0.01718,0.02461,0.8689,0.88613,0.000381752,0.000381752,0.000381752
32,4362.33,0.01571,0.01948,0.77033,0.84129,0.33327,0.43379,0.29359,0.24486,0.33379,0.43478,0.29379,0.22393,0.01703,0.02401,0.8877,0.88339,0.00037861,0.00037861,0.00037861
33,4498.49,0.0159,0.01924,0.76836,0.84511,0.23103,0.41871,0.26608,0.22218,0.23103,0.41871,0.26598,0.20286,0.01733,0.02393,0.93922,0.88504,0.000375469,0.000375469,0.000375469
34,4635.51,0.01612,0.01939,0.75472,0.84825,0.27762,0.44463,0.31515,0.26458,0.27762,0.44463,0.31488,0.24181,0.01706,0.02343,0.85945,0.88221,0.000372327,0.000372327,0.000372327
35,4770.09,0.01616,0.01935,0.73353,0.84416,0.29199,0.42928,0.3147,0.26034,0.29258,0.4303,0.31438,0.23698,0.0182,0.02543,0.86349,0.89553,0.000369186,0.000369186,0.000369186
36,4905.29,0.01565,0.01858,0.74932,0.84572,0.24457,0.45397,0.30236,0.25527,0.24497,0.4547,0.30323,0.23276,0.01698,0.02347,0.88762,0.87955,0.000366044,0.000366044,0.000366044
37,5040.99,0.01569,0.01913,0.72925,0.83847,0.24288,0.48692,0.30213,0.25377,0.24323,0.48765,0.30264,0.23008,0.0169,0.02442,0.89966,0.88708,0.000362902,0.000362902,0.000362902
38,5177.02,0.01571,0.01936,0.72836,0.84024,0.28759,0.41672,0.31273,0.26363,0.28236,0.44106,0.31413,0.24108,0.01701,0.02344,0.84943,0.87962,0.000359761,0.000359761,0.000359761
39,5315.93,0.01548,0.01845,0.73007,0.83856,0.39508,0.38055,0.30814,0.2574,0.39436,0.37659,0.30643,0.23394,0.01727,0.02447,0.9136,0.89185,0.000356619,0.000356619,0.000356619
40,5454.34,0.0158,0.01948,0.72228,0.84318,0.35058,0.41284,0.31181,0.26361,0.35033,0.41266,0.31192,0.23963,0.01692,0.02325,0.85026,0.88187,0.000353478,0.000353478,0.000353478
41,5591.16,0.01521,0.01857,0.70213,0.83879,0.28678,0.42571,0.31583,0.27032,0.28779,0.42696,0.31599,0.24356,0.0171,0.02435,0.86144,0.88587,0.000350336,0.000350336,0.000350336
