epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.066,0.04578,0.06885,4.81114,0.95905,0.57008,0.05127,0.07455,0.05654,0.57008,0.05127,0.07512,0.05602,0.04219,0.05596,4.64391,0.89349,0.000157263,0.000157263,0.000157263
2,277.504,0.04524,0.05286,3.95561,0.90293,0.2257,0.18716,0.11331,0.08263,0.2257,0.18716,0.1134,0.08215,0.0465,0.05715,3.85676,0.94511,0.000313844,0.000313844,0.000313844
3,418.112,0.04663,0.05232,3.55428,0.90918,0.2373,0.25139,0.14085,0.10401,0.23721,0.25124,0.14109,0.10524,0.04515,0.05181,3.38153,0.92574,0.000468331,0.000468331,0.000468331
4,555.868,0.04493,0.04977,3.22737,0.9065,0.2303,0.26716,0.14916,0.11278,0.2303,0.26716,0.14918,0.10773,0.04262,0.05264,3.18866,0.92426,0.000466575,0.000466575,0.000466575
5,696.003,0.04339,0.05003,3.02794,0.90359,0.16812,0.27713,0.15262,0.11376,0.16886,0.27629,0.15185,0.1085,0.04253,0.05297,2.94176,0.91722,0.000463434,0.000463434,0.000463434
6,833.898,0.04148,0.04705,2.90005,0.89635,0.19216,0.27189,0.17251,0.13256,0.19229,0.27263,0.17288,0.12839,0.04125,0.05356,2.80484,0.90417,0.000460292,0.000460292,0.000460292
7,973.132,0.04027,0.04723,2.77327,0.88599,0.18972,0.30334,0.17232,0.13158,0.19028,0.30459,0.17288,0.12522,0.0401,0.04923,2.72077,0.90022,0.00045715,0.00045715,0.00045715
8,1112.49,0.03992,0.0458,2.69189,0.88923,0.21201,0.32166,0.17303,0.13688,0.21391,0.32182,0.17341,0.13036,0.03809,0.04903,2.70396,0.90377,0.000454009,0.000454009,0.000454009
9,1255.68,0.03892,0.04535,2.67528,0.8798,0.15136,0.3521,0.19188,0.15094,0.15136,0.3521,0.19178,0.13875,0.0386,0.05045,2.64322,0.89955,0.000450867,0.000450867,0.000450867
10,1397.51,0.03803,0.04522,2.54526,0.87774,0.16202,0.38252,0.18843,0.14863,0.16181,0.38227,0.18779,0.14071,0.03704,0.05101,2.67085,0.89128,0.000447726,0.000447726,0.000447726
11,1536.14,0.03744,0.04387,2.50901,0.87623,0.27684,0.29113,0.21695,0.17182,0.27684,0.29113,0.21692,0.16457,0.03704,0.04842,2.47154,0.89081,0.000444584,0.000444584,0.000444584
12,1674.52,0.03763,0.04514,2.47767,0.88288,0.27262,0.32276,0.2257,0.1754,0.27238,0.3225,0.22517,0.16403,0.03703,0.04712,2.47847,0.8869,0.000441442,0.000441442,0.000441442
13,1811.93,0.03595,0.04223,2.43269,0.86916,0.29017,0.38544,0.25262,0.19935,0.29017,0.38544,0.25236,0.18528,0.03665,0.04735,2.4573,0.89238,0.000438301,0.000438301,0.000438301
14,1952.42,0.0358,0.04236,2.40545,0.86463,0.27047,0.36916,0.23454,0.18792,0.27114,0.37016,0.23514,0.17252,0.03622,0.04861,2.45255,0.8924,0.000435159,0.000435159,0.000435159
15,2091.43,0.0366,0.04352,2.39182,0.87534,0.29627,0.34819,0.24168,0.19189,0.29657,0.34877,0.24225,0.17625,0.03769,0.05026,2.45751,0.89963,0.000432018,0.000432018,0.000432018
16,2229.77,0.03551,0.04169,2.39128,0.87069,0.25568,0.39726,0.24607,0.19529,0.25512,0.39627,0.24446,0.17784,0.037,0.04882,2.39115,0.89605,0.000428876,0.000428876,0.000428876
17,2368.44,0.03529,0.04084,2.32922,0.86851,0.29573,0.37599,0.2535,0.2029,0.29573,0.37599,0.25311,0.1886,0.03658,0.04753,2.3597,0.89869,0.000425734,0.000425734,0.000425734
18,2508.04,0.0359,0.04207,2.25592,0.87794,0.30992,0.32584,0.26064,0.21104,0.31074,0.32683,0.2612,0.19644,0.03763,0.04795,2.40141,0.89542,0.000422593,0.000422593,0.000422593
19,2644.84,0.03489,0.04068,2.23504,0.86652,0.32199,0.34885,0.28621,0.23635,0.32237,0.34933,0.28635,0.21895,0.03786,0.04863,2.33541,0.8995,0.000419451,0.000419451,0.000419451
20,2784.16,0.03671,0.04436,2.23307,0.87162,0.2711,0.36124,0.24666,0.19994,0.27132,0.36197,0.24646,0.18508,0.03696,0.0483,2.44671,0.90088,0.00041631,0.00041631,0.00041631
21,2921.73,0.0346,0.04122,2.1996,0.86295,0.30029,0.42657,0.28507,0.23085,0.3005,0.42407,0.2852,0.21733,0.03657,0.04815,2.23534,0.89187,0.000413168,0.000413168,0.000413168
22,3059.23,0.03386,0.0401,2.1707,0.86257,0.26947,0.43077,0.27893,0.22994,0.27038,0.43137,0.27932,0.21093,0.03666,0.04693,2.31188,0.89431,0.000410026,0.000410026,0.000410026
23,3196.96,0.03373,0.03987,2.12915,0.85867,0.31434,0.39748,0.28974,0.2383,0.31434,0.39748,0.28901,0.21957,0.03598,0.04826,2.42662,0.89255,0.000406885,0.000406885,0.000406885
24,3336.33,0.03497,0.0417,2.1193,0.87172,0.37202,0.42281,0.30089,0.24483,0.37167,0.42278,0.30047,0.23178,0.03656,0.04759,2.1878,0.89441,0.000403743,0.000403743,0.000403743
25,3474.12,0.03537,0.04106,2.10511,0.85907,0.29541,0.43617,0.31006,0.25686,0.29542,0.43665,0.30969,0.24018,0.03645,0.04767,2.21819,0.89066,0.000400602,0.000400602,0.000400602
26,3612.69,0.03457,0.04075,2.0371,0.86526,0.37873,0.40249,0.29242,0.24071,0.37851,0.40272,0.29188,0.22275,0.03519,0.04788,2.26677,0.89159,0.00039746,0.00039746,0.00039746
27,3750.34,0.03307,0.04005,2.03521,0.86222,0.34595,0.42278,0.2957,0.242,0.3457,0.42252,0.29494,0.22564,0.0355,0.04731,2.26127,0.88736,0.000394318,0.000394318,0.000394318
