epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.6644,0.96286,4.70223,0.99951,0,0,0,0,0.89057,4.77268,0.90109,0.00013328,0.00013328,0.00013328
2,170.125,0.83449,4.02662,0.87658,0.97654,0.0335,0.0586,0.03926,0.92983,4.53688,0.89819,0.000270425,0.000270425,0.000270425
3,269.222,0.87155,3.54594,0.88516,0.99444,0.02206,0.04815,0.03312,0.8993,4.38617,0.90952,0.000406658,0.000406658,0.000406658
