epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.014,0.03477,0.05309,7.31767,0.97636,0.5209,0.0531,0.074,0.05307,0.5209,0.0531,0.07465,0.05719,0.03211,0.04314,7.06188,0.90543,0.000157263,0.000157263,0.000157263
2,274.444,0.03506,0.04144,6.07455,0.92465,0.26756,0.18416,0.11321,0.08119,0.26722,0.18342,0.11247,0.07799,0.03512,0.0441,5.79627,0.95281,0.000313844,0.000313844,0.000313844
3,411.939,0.03674,0.04218,5.42154,0.93388,0.23043,0.28986,0.13998,0.10234,0.23011,0.28912,0.14028,0.10114,0.03605,0.04063,5.09583,0.95022,0.000468331,0.000468331,0.000468331
4,547.601,0.0356,0.03969,4.97424,0.92749,0.22938,0.24722,0.15176,0.11028,0.2311,0.24547,0.15308,0.108,0.03303,0.04129,4.80286,0.93773,0.000466575,0.000466575,0.000466575
5,683.878,0.0345,0.03975,4.66497,0.92503,0.14984,0.26082,0.14576,0.10514,0.14972,0.26009,0.14576,0.10237,0.03347,0.0406,4.49939,0.93748,0.000463434,0.000463434,0.000463434
6,818.036,0.03309,0.03825,4.48037,0.91831,0.21823,0.29413,0.17445,0.12897,0.21818,0.2945,0.17473,0.12609,0.03077,0.03994,4.18766,0.91407,0.000460292,0.000460292,0.000460292
7,954.158,0.03234,0.03888,4.28112,0.90893,0.22783,0.32339,0.18084,0.13049,0.22804,0.32412,0.18102,0.12451,0.0305,0.0387,4.0759,0.91027,0.00045715,0.00045715,0.00045715
8,1091.9,0.03155,0.03698,4.18726,0.90811,0.1898,0.33484,0.17626,0.13323,0.1898,0.33484,0.17623,0.12726,0.02995,0.03858,4.0317,0.906,0.000454009,0.000454009,0.000454009
9,1231.27,0.03054,0.03661,4.1377,0.89521,0.18706,0.31235,0.17948,0.13468,0.18628,0.31605,0.17747,0.12339,0.02996,0.03906,4.05142,0.91559,0.000450867,0.000450867,0.000450867
10,1367.97,0.03033,0.03598,3.93565,0.89683,0.20991,0.31342,0.20523,0.15518,0.21072,0.31442,0.20602,0.145,0.03099,0.03804,3.87893,0.90897,0.000447726,0.000447726,0.000447726
11,1503.79,0.03068,0.03607,3.90974,0.89845,0.46161,0.24298,0.20949,0.15732,0.46082,0.24243,0.20845,0.14761,0.02918,0.03699,3.70741,0.89711,0.000444584,0.000444584,0.000444584
12,1640.89,0.02996,0.03641,3.84943,0.89983,0.24166,0.33904,0.23015,0.17741,0.24111,0.33792,0.22902,0.16341,0.02851,0.03629,3.79445,0.8919,0.000441442,0.000441442,0.000441442
13,1777.69,0.02811,0.03369,3.77251,0.88287,0.25533,0.36917,0.22955,0.17692,0.25533,0.36917,0.22872,0.16453,0.02829,0.03571,3.71834,0.89795,0.000438301,0.000438301,0.000438301
14,1917.08,0.02844,0.034,3.75278,0.87974,0.26344,0.37174,0.23622,0.18367,0.26348,0.37166,0.23602,0.17326,0.02853,0.03727,3.59676,0.90007,0.000435159,0.000435159,0.000435159
15,2054.53,0.02833,0.0345,3.69462,0.88558,0.2342,0.42182,0.22656,0.17465,0.2346,0.41616,0.22636,0.16371,0.02813,0.03701,3.61826,0.9012,0.000432018,0.000432018,0.000432018
16,2191.55,0.02743,0.03361,3.72725,0.88003,0.25234,0.35857,0.22501,0.17799,0.25346,0.35599,0.22418,0.1627,0.02729,0.03615,3.70257,0.89876,0.000428876,0.000428876,0.000428876
17,2328.98,0.02691,0.03277,3.62086,0.879,0.27686,0.36456,0.25196,0.1993,0.27665,0.36374,0.25132,0.18409,0.02716,0.03548,3.53712,0.897,0.000425734,0.000425734,0.000425734
18,2465.21,0.0276,0.03374,3.51681,0.88966,0.24086,0.44806,0.23541,0.18237,0.24481,0.42494,0.23922,0.17677,0.02861,0.03671,3.56392,0.90645,0.000422593,0.000422593,0.000422593
19,2604.07,0.02672,0.03216,3.47738,0.87717,0.41232,0.35356,0.27037,0.21537,0.41209,0.3533,0.26987,0.202,0.02831,0.03757,3.52413,0.898,0.000419451,0.000419451,0.000419451
20,2741.98,0.0287,0.03562,3.47907,0.88979,0.2444,0.43947,0.24511,0.19507,0.24466,0.44056,0.24449,0.17914,0.02722,0.03548,3.69217,0.89359,0.00041631,0.00041631,0.00041631
21,2878,0.0273,0.03312,3.44631,0.87953,0.21172,0.43026,0.26081,0.21096,0.21196,0.431,0.26106,0.19728,0.0267,0.03588,3.44222,0.89461,0.000413168,0.000413168,0.000413168
22,3014.46,0.02659,0.03214,3.37584,0.87705,0.27939,0.49251,0.26023,0.20485,0.27873,0.49148,0.2596,0.19288,0.02747,0.03495,3.5063,0.89136,0.000410026,0.000410026,0.000410026
23,3151.08,0.02659,0.03207,3.36279,0.87104,0.3199,0.40547,0.27486,0.21874,0.3199,0.40547,0.2747,0.20663,0.02655,0.03533,3.50434,0.89333,0.000406885,0.000406885,0.000406885
24,3290.28,0.02741,0.03371,3.30782,0.88822,0.37341,0.40629,0.27775,0.22223,0.37359,0.40703,0.27789,0.21043,0.02719,0.03479,3.36152,0.89582,0.000403743,0.000403743,0.000403743
25,3429.09,0.02729,0.03272,3.2975,0.87021,0.36501,0.46926,0.30908,0.24552,0.36531,0.46999,0.30931,0.23619,0.02731,0.03505,3.24947,0.89061,0.000400602,0.000400602,0.000400602
26,3567.48,0.02678,0.03227,3.21398,0.87519,0.33368,0.44386,0.27958,0.22265,0.33454,0.44412,0.27963,0.20887,0.02631,0.03517,3.32098,0.89066,0.00039746,0.00039746,0.00039746
27,3703.43,0.02573,0.0319,3.21307,0.87301,0.3144,0.40357,0.27408,0.21819,0.31516,0.40434,0.27405,0.20411,0.02619,0.03455,3.37072,0.88943,0.000394318,0.000394318,0.000394318
28,3840.7,0.02698,0.0329,3.16819,0.87241,0.29335,0.45734,0.27794,0.22502,0.29496,0.45531,0.27746,0.21382,0.026,0.03431,3.32064,0.89166,0.000391177,0.000391177,0.000391177
29,3976.48,0.02631,0.03235,3.17397,0.8727,0.32053,0.46587,0.29842,0.24207,0.32121,0.46664,0.29849,0.22432,0.02604,0.03431,3.35512,0.88721,0.000388035,0.000388035,0.000388035
30,4113.72,0.02716,0.03354,3.19946,0.87136,0.35448,0.38994,0.30035,0.24474,0.35448,0.38994,0.29991,0.22962,0.02621,0.03467,3.33051,0.88486,0.000384894,0.000384894,0.000384894
31,4250.15,0.02645,0.03287,3.08946,0.86986,0.34392,0.4934,0.31709,0.25819,0.34392,0.4934,0.31694,0.24084,0.02673,0.03529,3.28921,0.89635,0.000381752,0.000381752,0.000381752
32,4387.91,0.02614,0.03244,3.0809,0.87242,0.34831,0.40584,0.28586,0.23179,0.34804,0.40558,0.28548,0.2156,0.02546,0.03435,3.32299,0.88504,0.00037861,0.00037861,0.00037861
33,4525.8,0.02579,0.03192,3.0865,0.8711,0.23085,0.45691,0.28142,0.22908,0.23085,0.45691,0.28152,0.21472,0.02599,0.03449,3.55066,0.88906,0.000375469,0.000375469,0.000375469
34,4662.57,0.02602,0.03197,3.02335,0.87394,0.35295,0.42553,0.31783,0.25978,0.35295,0.42553,0.31805,0.24031,0.02596,0.03381,3.36282,0.88741,0.000372327,0.000372327,0.000372327
35,4798.38,0.0265,0.03179,2.98652,0.87288,0.35022,0.38071,0.26889,0.21804,0.35026,0.38119,0.26912,0.20412,0.02652,0.03553,3.36347,0.89384,0.000369186,0.000369186,0.000369186
36,4934.48,0.02554,0.03014,3.03372,0.87089,0.40157,0.43642,0.33089,0.26944,0.40159,0.44173,0.33036,0.25131,0.02578,0.03386,3.25872,0.88235,0.000366044,0.000366044,0.000366044
37,5071.35,0.02566,0.03129,2.9323,0.86418,0.39775,0.43709,0.289,0.23501,0.39775,0.43709,0.2891,0.22049,0.02611,0.03497,3.5254,0.89699,0.000362902,0.000362902,0.000362902
38,5206.96,0.02625,0.03184,2.90955,0.86706,0.27996,0.45452,0.30686,0.24999,0.27951,0.45412,0.30652,0.22879,0.02625,0.03534,3.10121,0.89382,0.000359761,0.000359761,0.000359761
39,5343,0.02638,0.03102,2.91002,0.86635,0.2723,0.50348,0.33448,0.27411,0.27263,0.50315,0.33434,0.25,0.02602,0.03381,3.28761,0.89095,0.000356619,0.000356619,0.000356619
40,5480,0.02653,0.03258,2.87834,0.87426,0.31874,0.42116,0.2892,0.23331,0.31937,0.42216,0.2897,0.21596,0.02652,0.03493,3.47081,0.89146,0.000353478,0.000353478,0.000353478
41,5615.43,0.02554,0.03068,2.8733,0.86445,0.29618,0.44022,0.28398,0.23305,0.29758,0.43915,0.28442,0.21555,0.02638,0.03504,3.42924,0.89348,0.000350336,0.000350336,0.000350336
42,5750.59,0.02551,0.03085,2.80616,0.86454,0.273,0.45731,0.31214,0.25703,0.27356,0.4583,0.31293,0.23693,0.02606,0.03327,3.32227,0.88827,0.000347194,0.000347194,0.000347194
43,5886.96,0.02619,0.032,2.89516,0.86975,0.3401,0.5044,0.31568,0.25637,0.34036,0.50465,0.31529,0.23745,0.02585,0.0355,3.19264,0.8897,0.000344053,0.000344053,0.000344053
44,6023.07,0.02558,0.03155,2.81774,0.86833,0.33313,0.51075,0.33163,0.26976,0.33473,0.51075,0.33177,0.25054,0.02673,0.03508,3.21579,0.8962,0.000340911,0.000340911,0.000340911
45,6159.26,0.0254,0.03088,2.78177,0.86143,0.30896,0.49267,0.29129,0.23156,0.30861,0.49241,0.2902,0.2129,0.02718,0.0358,3.40418,0.89531,0.00033777,0.00033777,0.00033777
46,6298.53,0.02716,0.03302,2.8174,0.87559,0.35471,0.45152,0.30456,0.24816,0.35497,0.45178,0.30454,0.22979,0.02617,0.03539,3.22627,0.89465,0.000334628,0.000334628,0.000334628
47,6436.5,0.02593,0.03207,2.74887,0.87295,0.32825,0.50315,0.31186,0.25247,0.32845,0.5034,0.31156,0.23461,0.02642,0.03599,3.16448,0.88832,0.000331486,0.000331486,0.000331486
48,6575.34,0.0254,0.03107,2.68977,0.86618,0.30835,0.5096,0.33127,0.27368,0.30861,0.50986,0.331,0.24474,0.02682,0.03479,3.2517,0.89748,0.000328345,0.000328345,0.000328345
49,6713.84,0.02556,0.03161,2.72258,0.86332,0.31924,0.45136,0.32182,0.26264,0.31924,0.45136,0.32167,0.24314,0.02585,0.03455,3.26742,0.89513,0.000325203,0.000325203,0.000325203
50,6852.05,0.02453,0.03004,2.68347,0.85477,0.31184,0.47211,0.34168,0.28187,0.30725,0.48414,0.34157,0.26032,0.02569,0.03494,3.33096,0.89156,0.000322062,0.000322062,0.000322062
51,6990.63,0.02465,0.03062,2.64191,0.86146,0.32901,0.47713,0.30866,0.25367,0.34355,0.46521,0.30835,0.23183,0.026,0.03588,3.1703,0.89798,0.00031892,0.00031892,0.00031892
52,7129.08,0.02552,0.03159,2.66756,0.87112,0.33331,0.46798,0.33928,0.2752,0.33588,0.46487,0.33871,0.25069,0.02663,0.03501,3.33005,0.90283,0.000315778,0.000315778,0.000315778
53,7264.41,0.02467,0.02973,2.67736,0.85466,0.31251,0.43953,0.31728,0.26225,0.31145,0.44012,0.31697,0.24152,0.02635,0.03598,3.20699,0.90235,0.000312637,0.000312637,0.000312637
54,7400.24,0.02504,0.03148,2.6793,0.87007,0.31936,0.45571,0.31836,0.26228,0.31998,0.4567,0.31858,0.24062,0.02614,0.0349,3.30734,0.89615,0.000309495,0.000309495,0.000309495
55,7535.94,0.02525,0.03143,2.58697,0.86166,0.31514,0.49546,0.33332,0.27553,0.31399,0.48689,0.33257,0.25001,0.02659,0.03508,3.26233,0.90199,0.000306354,0.000306354,0.000306354
