epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.236,0.00593,3.47034,1.07205,0.01333,0.2,0.1592,0.08742,0.0047,3.47971,0.89332,0.00013635,0.00013635,0.00013635
2,343.983,0.00531,2.78131,0.93847,0.03068,0.13188,0.13212,0.10724,0.00476,3.2827,0.89743,0.000279,0.000279,0.000279
3,436.353,0.00519,2.20518,0.92865,0.04922,0.20628,0.1659,0.1176,0.00462,2.97618,0.88147,0.000418771,0.000418771,0.000418771
4,523.994,0.00525,1.8361,0.94064,0.98217,0.10417,0.19543,0.14405,0.00487,2.58962,0.90036,0.000555662,0.000555662,0.000555662
5,683.343,0.00484,1.70301,0.91084,0.96028,0.1,0.2118,0.14452,0.00493,2.76855,0.9353,0.000689673,0.000689673,0.000689673
6,1374.49,0.00479,1.56381,0.91329,0.99394,0.05,0.0788,0.06086,0.00456,2.15707,0.91637,0.000820804,0.000820804,0.000820804
7,1787.87,0.0049,1.50333,0.9078,0.99443,0.05,0.07769,0.0557,0.00433,1.60471,0.93003,0.000855005,0.000855005,0.000855005
8,3000.08,0.00455,1.41252,0.89472,0.67172,0.07222,0.07644,0.04921,0.00426,1.41941,0.92871,0.000846006,0.000846006,0.000846006
9,4455.73,0.00449,1.37815,0.89094,0.45977,0.07222,0.07624,0.04827,0.00407,1.34109,0.92124,0.000837007,0.000837007,0.000837007
10,4684.21,0.00449,1.3406,0.8986,0.79798,0.19368,0.22995,0.15378,0.00425,1.32359,0.92366,0.000828008,0.000828008,0.000828008
11,7349.86,0.00421,1.24746,0.88987,0.79678,0.20476,0.24126,0.17212,0.00372,1.27996,0.89874,0.000819009,0.000819009,0.000819009
12,8995.49,0.00433,1.29307,0.89255,0.34466,0.21235,0.23106,0.17912,0.00386,1.37134,0.88653,0.00081001,0.00081001,0.00081001
13,9111.67,0.00433,1.32653,0.88542,0.56789,0.20374,0.22661,0.18931,0.00366,1.48001,0.88483,0.000801011,0.000801011,0.000801011
14,9316.74,0.00429,1.27935,0.88824,0.88109,0.20178,0.21035,0.15015,0.00398,1.25361,0.91916,0.000792012,0.000792012,0.000792012
15,9433.02,0.00444,1.22736,0.89075,0.56252,0.2382,0.24861,0.17568,0.00396,1.24739,0.90999,0.000783013,0.000783013,0.000783013
16,9979.42,0.00422,1.18697,0.88632,0.6315,0.20272,0.22917,0.18031,0.00383,1.23232,0.88703,0.000774013,0.000774013,0.000774013
17,10072.6,0.00414,1.156,0.88084,0.38931,0.23673,0.24043,0.19864,0.00392,1.2646,0.89212,0.000765014,0.000765014,0.000765014
18,10554.5,0.00393,1.09358,0.87039,0.58724,0.20503,0.23167,0.17375,0.00364,1.24067,0.89515,0.000756015,0.000756015,0.000756015
19,11111.4,0.00404,1.11656,0.87607,0.60196,0.20226,0.24213,0.20296,0.00349,1.19176,0.89118,0.000747016,0.000747016,0.000747016
20,12922.4,0.00404,1.1186,0.88021,0.47311,0.2525,0.24994,0.19264,0.00363,1.14652,0.89981,0.000738017,0.000738017,0.000738017
21,14468.7,0.00395,1.04713,0.87814,0.99249,0.05,0.07569,0.05152,0.00349,1.14703,0.90049,0.000729018,0.000729018,0.000729018
22,14784.3,0.00392,1.01958,0.87299,0.53102,0.23723,0.24298,0.19655,0.00375,1.11334,0.90742,0.000720019,0.000720019,0.000720019
23,15220.1,0.00392,1.07027,0.87042,0.47748,0.07222,0.07862,0.06848,0.00358,1.37832,0.90465,0.00071102,0.00071102,0.00071102
24,16208.8,0.00391,1.01683,0.8767,0.51295,0.26158,0.26558,0.22366,0.00359,1.09834,0.89355,0.000702021,0.000702021,0.000702021
25,19003.5,0.00394,0.9804,0.86852,0.98981,0.05,0.07912,0.06002,0.00367,1.17464,0.90193,0.000693022,0.000693022,0.000693022
26,19193.1,0.00395,1.02208,0.86541,0.792,0.05,0.06311,0.0393,0.00379,1.17735,0.91,0.000684022,0.000684022,0.000684022
27,20098.5,0.00373,0.97872,0.86871,0.91623,0.07222,0.08145,0.06101,0.00357,1.12899,0.88776,0.000675023,0.000675023,0.000675023
28,20648.5,0.0038,0.93427,0.86603,0.51812,0.23887,0.25916,0.21146,0.00338,1.18883,0.87798,0.000666024,0.000666024,0.000666024
29,21302.5,0.00373,0.93868,0.86388,0.98565,0.05,0.08053,0.06268,0.00354,1.13526,0.88035,0.000657025,0.000657025,0.000657025
30,21507,0.00378,0.99382,0.85955,0.44275,0.07222,0.07764,0.06007,0.00333,1.15959,0.88164,0.000648026,0.000648026,0.000648026
31,22131.1,0.00373,0.91984,0.86787,0.67117,0.21632,0.23543,0.19176,0.00343,1.09963,0.88492,0.000639027,0.000639027,0.000639027
32,23590.2,0.0038,0.89911,0.86328,0.79355,0.05,0.08663,0.07797,0.00342,1.08869,0.87583,0.000630028,0.000630028,0.000630028
33,23685,0.00375,0.9247,0.86447,0.49297,0.23488,0.25185,0.19988,0.00338,1.13467,0.88251,0.000621029,0.000621029,0.000621029
34,24386.4,0.00381,0.93808,0.86202,0.47539,0.23051,0.25034,0.18425,0.00341,1.06861,0.8807,0.00061203,0.00061203,0.00061203
