epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.965,0.00358,0.00542,5.73203,0.96785,0.47991,0.05746,0.07406,0.0581,0.47991,0.05746,0.07434,0.05892,0.00334,0.00452,5.53817,0.9041,0.000157263,0.000157263,0.000157263
2,269.217,0.00366,0.00435,4.72311,0.91928,0.20908,0.19181,0.10679,0.076,0.20863,0.19034,0.10591,0.07663,0.00369,0.00479,4.57323,0.95238,0.000313844,0.000313844,0.000313844
3,403.978,0.00377,0.00452,4.24872,0.92486,0.23735,0.25315,0.14678,0.10558,0.23654,0.2534,0.14607,0.10615,0.00372,0.00475,4.02647,0.94776,0.000468331,0.000468331,0.000468331
4,539.18,0.00372,0.0044,3.87407,0.92332,0.23407,0.2591,0.14837,0.10298,0.23425,0.25983,0.14935,0.10276,0.00348,0.0046,3.83159,0.93977,0.000466575,0.000466575,0.000466575
5,676.46,0.00358,0.0044,3.64459,0.91922,0.15054,0.26169,0.14015,0.10358,0.1504,0.26085,0.14017,0.09898,0.00346,0.00486,3.51279,0.93259,0.000463434,0.000463434,0.000463434
6,811.517,0.0034,0.00414,3.48096,0.91173,0.22504,0.29078,0.17642,0.13415,0.2245,0.29026,0.17568,0.12912,0.00326,0.00456,3.34458,0.91533,0.000460292,0.000460292,0.000460292
7,947.509,0.00332,0.00425,3.32429,0.90091,0.19509,0.31478,0.17121,0.12372,0.19948,0.3137,0.17159,0.11911,0.00329,0.00432,3.26816,0.91462,0.00045715,0.00045715,0.00045715
8,1084.53,0.00326,0.00409,3.22486,0.90184,0.20651,0.30986,0.17161,0.13162,0.20651,0.30986,0.17155,0.12573,0.00308,0.00435,3.21841,0.90575,0.000454009,0.000454009,0.000454009
9,1221.14,0.0032,0.00409,3.20015,0.89356,0.20046,0.37407,0.18832,0.14285,0.20063,0.3748,0.189,0.13404,0.00305,0.00425,3.12298,0.90397,0.000450867,0.000450867,0.000450867
10,1357.77,0.0031,0.00405,3.03371,0.89089,0.20009,0.29586,0.19605,0.14945,0.20076,0.29663,0.19642,0.14128,0.00304,0.00452,3.13557,0.89654,0.000447726,0.000447726,0.000447726
11,1493.22,0.00306,0.00411,2.9997,0.88999,0.34599,0.3228,0.21946,0.169,0.34828,0.32229,0.21899,0.1597,0.00295,0.0044,2.90188,0.89455,0.000444584,0.000444584,0.000444584
12,1627.82,0.00309,0.00411,2.9654,0.89579,0.23461,0.36551,0.24671,0.19449,0.23432,0.36478,0.24643,0.18241,0.00295,0.00419,2.91557,0.89358,0.000441442,0.000441442,0.000441442
13,1762.63,0.00296,0.00385,2.90653,0.88214,0.28747,0.37083,0.25409,0.19813,0.2858,0.36086,0.25266,0.18143,0.00296,0.00431,2.90481,0.90315,0.000438301,0.000438301,0.000438301
14,1898.95,0.00295,0.00395,2.87611,0.87778,0.27613,0.42925,0.24747,0.19553,0.27641,0.42998,0.248,0.18223,0.00296,0.00434,2.92344,0.89913,0.000435159,0.000435159,0.000435159
15,2034.77,0.003,0.00403,2.84115,0.88637,0.28844,0.44987,0.25126,0.1967,0.2866,0.44052,0.25124,0.17955,0.00303,0.00442,2.81638,0.90285,0.000432018,0.000432018,0.000432018
16,2170.18,0.00291,0.00386,2.85443,0.88168,0.2816,0.35017,0.24893,0.19112,0.28138,0.34991,0.248,0.17375,0.00301,0.00445,2.8332,0.90835,0.000428876,0.000428876,0.000428876
17,2305.73,0.00288,0.00382,2.78723,0.88074,0.32441,0.396,0.26317,0.20928,0.32604,0.39377,0.26284,0.18911,0.00292,0.00419,2.77128,0.90773,0.000425734,0.000425734,0.000425734
18,2442.41,0.00293,0.0039,2.69359,0.89214,0.27167,0.31006,0.25198,0.20038,0.27192,0.3108,0.25184,0.18813,0.00306,0.00431,2.903,0.91093,0.000422593,0.000422593,0.000422593
